Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Condition,Collections
Shipwreck Ornament,shipwreck-ornament,Sunken shipwreck decoration,Aquatic,Aquarium & Pond > Decorations,Shipwreck,"decoration, ornament, shipwreck, sunken, decorations",TRUE,Active,ORNAMENT010,,,,,,,,,,,149.50,190,115.00,TRUE,,,,,,shopify,10,DENY,500,g,TRUE,manual,FALSE,Shipwreck Ornament | AquaCube South Africa,Shop Shipwreck Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Old Submarine Ornament,old-submarine-ornament,Vintage submarine wreck ornament,Aquatic,Aquarium & Pond > Decorations,Shipwreck,"decoration, ornament, submarine, vintage, decorations",TRUE,Active,ORNAMENT011,,,,,,,,,,,112.13,142,86.25,TRUE,,,,,,shopify,10,DENY,350,g,TRUE,manual,FALSE,Old Submarine Ornament | AquaCube South Africa,Shop Old Submarine Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
UFO Ornament,ufo-ornament,Flying saucer UFO shaped decoration,Aquatic,Aquarium & Pond > Decorations,Fantasy Ornament,"decoration, ornament, ufo, sci-fi, decorations",TRUE,Active,ORNAMENT012,,,,,,,,,,,119.60,152,92.00,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,UFO Ornament | AquaCube South Africa,Shop UFO Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Star Wars Walker Ornament Small,star-wars-walker-ornament-small,Small AT-AT walker from Star Wars,Aquatic,Aquarium & Pond > Decorations,Character Ornament,"decoration, ornament, star-wars, walker, small, decorations",TRUE,Active,ORNAMENT013,,,,,,,,,,,134.55,171,103.50,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,FALSE,Star Wars Walker Ornament Small | AquaCube South Africa,Shop Star Wars Walker Ornament Small online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Star Wars Walker Ornament Large,star-wars-walker-ornament-large,Large AT-AT walker ornament,Aquatic,Aquarium & Pond > Decorations,Character Ornament,"decoration, ornament, star-wars, walker, large, decorations",TRUE,Active,ORNAMENT014,,,,,,,,,,,276.58,351,212.75,TRUE,,,,,,shopify,10,DENY,800,g,TRUE,manual,FALSE,Star Wars Walker Ornament Large | AquaCube South Africa,Shop Star Wars Walker Ornament Large online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Coast Guard Boat Shipwreck Ornament,coast-guard-boat-shipwreck-ornament,Sunken coast guard boat decoration,Aquatic,Aquarium & Pond > Decorations,Shipwreck,"decoration, ornament, boat, coast-guard, decorations",TRUE,Active,ORNAMENT015,,,,,,,,,,,186.88,237,143.75,TRUE,,,,,,shopify,10,DENY,550,g,TRUE,manual,FALSE,Coast Guard Boat Shipwreck Ornament | AquaCube South Africa,Shop Coast Guard Boat Shipwreck Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
VW Combi Ornament,vw-combi-ornament,Vintage Volkswagen bus decoration,Aquatic,Aquarium & Pond > Decorations,Vehicle Ornament,"decoration, ornament, vw, bus, vintage, decorations",TRUE,Active,ORNAMENT016,,,,,,,,,,,171.93,218,132.25,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,FALSE,VW Combi Ornament | AquaCube South Africa,Shop VW Combi Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Sunken Ship Octopus Design Ornament,sunken-ship-octopus-design-ornament,Shipwreck with octopus sculpture,Aquatic,Aquarium & Pond > Decorations,Shipwreck,"decoration, ornament, octopus, shipwreck, decorations",TRUE,Active,ORNAMENT017,,,,,,,,,,,216.78,275,166.75,TRUE,,,,,,shopify,10,DENY,600,g,TRUE,manual,FALSE,Sunken Ship Octopus Design Ornament | AquaCube South Africa,Shop Sunken Ship Octopus Design Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Egyptian Sphinx Ornament,egyptian-sphinx-ornament,Ancient Egyptian sphinx statue,Aquatic,Aquarium & Pond > Decorations,Ancient Ornament,"decoration, ornament, sphinx, egyptian, decorations",TRUE,Active,ORNAMENT018,,,,,,,,,,,149.50,190,115.00,TRUE,,,,,,shopify,10,DENY,500,g,TRUE,manual,FALSE,Egyptian Sphinx Ornament | AquaCube South Africa,Shop Egyptian Sphinx Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Tree Man Ornament 12x11x23,tree-man-ornament-12x11x23,Woodland tree man decoration 12x11x23cm,Aquatic,Aquarium & Pond > Decorations,Fantasy Ornament,"decoration, ornament, tree-man, woodland, decorations",TRUE,Active,ORNAMENT019,,,,,,,,,,,171.93,218,132.25,TRUE,,,,,,shopify,10,DENY,600,g,TRUE,manual,FALSE,Tree Man Ornament 12x11x23 | AquaCube South Africa,Shop Tree Man Ornament 12x11x23 online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Tree Man Ornament 14x12x18 Large,tree-man-ornament-14x12x18-large,Large tree man statue 14x12x18cm,Aquatic,Aquarium & Pond > Decorations,Fantasy Ornament,"decoration, ornament, tree-man, large, decorations",TRUE,Active,ORNAMENT020,,,,,,,,,,,171.93,218,132.25,TRUE,,,,,,shopify,10,DENY,550,g,TRUE,manual,FALSE,Tree Man Ornament 14x12x18 Large | AquaCube South Africa,Shop Tree Man Ornament 14x12x18 Large online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Skull Arch Ornament,skull-arch-ornament,Skull archway decoration,Aquatic,Aquarium & Pond > Decorations,Skull Ornament,"decoration, ornament, skull, arch, decorations",TRUE,Active,ORNAMENT021,,,,,,,,,,,191.36,243,147.20,TRUE,,,,,,shopify,10,DENY,600,g,TRUE,manual,FALSE,Skull Arch Ornament | AquaCube South Africa,Shop Skull Arch Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Gargoyle Ornament,gargoyle-ornament,Gothic gargoyle statue decoration,Aquatic,Aquarium & Pond > Decorations,Gothic Ornament,"decoration, ornament, gargoyle, gothic, decorations",TRUE,Active,ORNAMENT022,,,,,,,,,,,137.54,175,105.80,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,FALSE,Gargoyle Ornament | AquaCube South Africa,Shop Gargoyle Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Mechanical Skeleton Ornament,mechanical-skeleton-ornament,Moving skeleton decoration,Aquatic,Aquarium & Pond > Decorations,Skull Ornament,"decoration, ornament, skeleton, mechanical, decorations",TRUE,Active,ORNAMENT023,,,,,,,,,,,179.40,228,138.00,TRUE,,,,,,shopify,10,DENY,550,g,TRUE,manual,FALSE,Mechanical Skeleton Ornament | AquaCube South Africa,Shop Mechanical Skeleton Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Mechanical Fish Ornament,mechanical-fish-ornament,Animated mechanical fish decoration,Aquatic,Aquarium & Pond > Decorations,Animated Ornament,"decoration, ornament, fish, mechanical, decorations",TRUE,Active,ORNAMENT024,,,,,,,,,,,194.35,247,149.50,TRUE,,,,,,shopify,10,DENY,600,g,TRUE,manual,FALSE,Mechanical Fish Ornament | AquaCube South Africa,Shop Mechanical Fish Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Baby Groot Ornament,baby-groot-ornament,Baby Groot character decoration,Aquatic,Aquarium & Pond > Decorations,Character Ornament,"decoration, ornament, groot, marvel, decorations",TRUE,Active,ORNAMENT025,,,,,,,,,,,52.33,66,40.25,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,Baby Groot Ornament | AquaCube South Africa,Shop Baby Groot Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Groot with Air Stone Ornament,groot-with-air-stone-ornament,Groot statue with integrated air stone,Aquatic,Aquarium & Pond > Decorations,Character Ornament,"decoration, ornament, groot, air-stone, decorations",TRUE,Active,ORNAMENT026,,,,,,,,,,,82.23,104,63.25,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,Groot with Air Stone Ornament | AquaCube South Africa,Shop Groot with Air Stone Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Popetpop Ornament,popetpop-ornament,Cute Popetpop character decoration,Aquatic,Aquarium & Pond > Decorations,Character Ornament,"decoration, ornament, popetpop, cute, decorations",TRUE,Active,ORNAMENT027,,,,,,,,,,,67.28,85,51.75,TRUE,,,,,,shopify,10,DENY,220,g,TRUE,manual,FALSE,Popetpop Ornament | AquaCube South Africa,Shop Popetpop Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
General Ornament 7x10x12,general-ornament-7x10x12,Standard decoration 7x10x12cm,Aquatic,Aquarium & Pond > Decorations,General Ornament,"decoration, ornament, general, standard, decorations",TRUE,Active,ORNAMENT028,,,,,,,,,,,67.28,85,51.75,TRUE,,,,,,shopify,10,DENY,220,g,TRUE,manual,FALSE,General Ornament 7x10x12 | AquaCube South Africa,Shop General Ornament 7x10x12 online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Meditation Buddha Statue Ornament,meditation-buddha-statue-ornament,Peaceful buddha meditation statue,Aquatic,Aquarium & Pond > Decorations,Buddha Ornament,"decoration, ornament, buddha, zen, decorations",TRUE,Active,ORNAMENT029,,,,,,,,,,,134.55,171,103.50,TRUE,,,,,,shopify,10,DENY,500,g,TRUE,manual,FALSE,Meditation Buddha Statue Ornament | AquaCube South Africa,Shop Meditation Buddha Statue Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Ancient Buddha Ornament,ancient-buddha-ornament,Antique style buddha statue,Aquatic,Aquarium & Pond > Decorations,Buddha Ornament,"decoration, ornament, buddha, ancient, decorations",TRUE,Active,ORNAMENT030,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,FALSE,Ancient Buddha Ornament | AquaCube South Africa,Shop Ancient Buddha Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Swim School Shack Ornament,swim-school-shack-ornament,Small school building decoration,Aquatic,Aquarium & Pond > Decorations,Architecture Ornament,"decoration, ornament, building, school, decorations",TRUE,Active,ORNAMENT031,,,,,,,,,,,146.51,186,112.70,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,FALSE,Swim School Shack Ornament | AquaCube South Africa,Shop Swim School Shack Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Deco Castle Ornament,deco-castle-ornament,Classic castle decoration,Aquatic,Aquarium & Pond > Decorations,Architecture Ornament,"decoration, ornament, castle, classic, decorations",TRUE,Active,ORNAMENT032,,,,,,,,,,,119.60,152,92.00,TRUE,,,,,,shopify,10,DENY,350,g,TRUE,manual,FALSE,Deco Castle Ornament | AquaCube South Africa,Shop Deco Castle Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Magical Castle Pink Ornament,magical-castle-pink-ornament,Pink fantasy castle decoration,Aquatic,Aquarium & Pond > Decorations,Architecture Ornament,"decoration, ornament, castle, pink, decorations",TRUE,Active,ORNAMENT033,,,,,,,,,,,179.40,228,138.00,TRUE,,,,,,shopify,10,DENY,550,g,TRUE,manual,FALSE,Magical Castle Pink Ornament | AquaCube South Africa,Shop Magical Castle Pink Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Magical Castle Brown Ornament,magical-castle-brown-ornament,Brown fantasy castle decoration,Aquatic,Aquarium & Pond > Decorations,Architecture Ornament,"decoration, ornament, castle, brown, decorations",TRUE,Active,ORNAMENT034,,,,,,,,,,,179.40,228,138.00,TRUE,,,,,,shopify,10,DENY,550,g,TRUE,manual,FALSE,Magical Castle Brown Ornament | AquaCube South Africa,Shop Magical Castle Brown Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Mountain Level Steps Moss Ornament,mountain-level-steps-moss-ornament,Mountain terrain with moss planting areas,Aquatic,Aquarium & Pond > Decorations,Landscape Ornament,"decoration, ornament, mountain, moss, decorations",TRUE,Active,ORNAMENT035,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,FALSE,Mountain Level Steps Moss Ornament | AquaCube South Africa,Shop Mountain Level Steps Moss Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Dragon Layer 7pcs Set Ornament,dragon-layer-7pcs-set-ornament,7 piece dragon lair building set,Aquatic,Aquarium & Pond > Decorations,Dragon Ornament,"decoration, ornament, dragon, set, 7pcs, decorations",TRUE,Active,ORNAMENT036,,,,,,,,,,,216.78,275,166.75,TRUE,,,,,,shopify,10,DENY,700,g,TRUE,manual,FALSE,Dragon Layer 7pcs Set Ornament | AquaCube South Africa,Shop Dragon Layer 7pcs Set Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Landscape Pavilion Tree Ornament,landscape-pavilion-tree-ornament,Oriental pavilion with trees decoration,Aquatic,Aquarium & Pond > Decorations,Landscape Ornament,"decoration, ornament, pavilion, oriental, decorations",TRUE,Active,ORNAMENT037,,,,,,,,,,,276.58,351,212.75,TRUE,,,,,,shopify,10,DENY,800,g,TRUE,manual,FALSE,Landscape Pavilion Tree Ornament | AquaCube South Africa,Shop Landscape Pavilion Tree Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
